0,1,2,3
排名,城市,2019上半年GDP（亿元 ）,实际增速
1,上海,16409.9,5.90%
2,北京,15212.5,6.30%
3,深圳,12133.9,7.40%
4,广州,11755.5,7.10%
5,天津,10371.2,4.60%
6,重庆,10334.8,6.20%
7,苏州,9548.3,6.00%
8,成都,7702.4,8.20%
9,武汉,6949.1,6.90%
10,杭州,6949.1,6.90%
11,南京,6742.6,8.10%
12,青岛,6552.7,6.40%
13,无锡,5962.5,7.10%
14,长沙,5537.8,8.20%
15,宁波,5417.2,6.50%
16,郑州,5106.9,7.90%
17,佛山,4795.2,6.90%
18,济南,4791.7,7.00%
19,南通,4580.1,6.50%
20,东莞,4215.9,6.90%
21,烟台,4171.8,5.40%
22,西安,4142.4,7.00%
23,泉州,4007.8,8.00%
24,常州,3765.6,7.10%
25,合肥,3752.2,8.10%
26,大连,3671,6.70%
27,徐州,3540.8,6.10%
28,福州,3528.5,8.50%
29,唐山,3390,7.50%
30,潍坊,3380.9,5.10%
31,石家庄,3156.8,7.80%
32,长春,,
33,温州,2960.6,8.20%
34,盐城,2885.1,6.40%
35,扬州,2804.6,7.00%
36,绍兴,2738.1,7.70%
37,泰州,2732.2,7.00%
38,哈尔滨,2717.7,5.00%
39,沈阳,,
40,淄博,2664,3.80%
41,南昌,2644.5,8.60%
42,济宁,2572.5,4.10%
43,临沂,2505.5,3.50%
44,昆明,2355.9,8.00%
45,嘉兴,2317.6,7.10%
46,洛阳,2315,8.30%
47,厦门,2307.4,8.00%
48,台州,2263.6,5.50%
49,镇江,2216.3,5.90%
50,金华,2109.6,6.50%
51,惠州,2089.2,4.50%
52,宜昌,2077.5,8.20%
53,襄阳,2061.9,8.00%
54,泰安,2048.1,5.50%
55,鄂尔多斯,1969.1,4.60%
56,淮安,1956.1,7.20%
57,东营,1953.1,1.70%
58,太原,1951.7,8.00%
59,中山,1913.9,0.90%
60,榆林,1849.8,3.00%
61,威海,1845.4,3.60%
62,德州,1822,6.10%
63,南宁,1817.6,3.70%
64,沧州,1808,7.10%
65,贵阳,1785.7,9.10%
66,漳州,1775.7,7.60%
67,南阳,1773.4,6.50%
68,聊城,1733.6,3.50%
69,菏泽,1706.1,5.50%
70,芜湖,1694.4,8.30%
71,邯郸,1679.9,
72,岳阳,1603.6,7.20%
73,常德,1598.7,7.70%
74,茂名,1555.8,4.50%
75,保定,1502.4,7.30%
76,呼和浩特,1487.3,4.70%
77,珠海,1483.3,7.00%
78,遵义,1475.6,9.30%
79,湖州,1463.6,8.10%
80,连云港,1446.9,5.50%
81,湛江,1437.7,4.20%
82,江门,1432.1,4.00%
83,宿迁,1408.6,7.30%
84,许昌,1406.7,7.60%
85,滨州,1350.8,2.00%
86,乌鲁木齐,,
87,兰州,1341.5,5.20%
88,包头,,
89,赣州,1333.1,9.10%
90,周口,1328.2,7.70%
91,枣庄,1321.6,4.50%
92,衡阳,1311.4,8.30%
93,大庆,,
94,九江,1300.3,8.90%
95,株洲,1272.8,7.70%
96,柳州,,
97,新乡,1268.6,7.00%
98,汕头,1267.9,6.00%
99,廊坊,,
100,信阳,1214.1,7.90%
